,train IoU,val IoU,test IoU,train F1,val F1,test F1
sup,"0,9755","0,9551","0,642","0,9919","0,9816","0,9082"
pre-trained,"0,9735","0,9624","0,6855","0,9921","0,9883","0,9037"
